brand,country,month,gamma_fit
ABRRE,Arrakis,1.0,"(0.3181461161074417, -1.835956453670625e-30, 0.11858313079962407)"
ABRRE,Beleria,1.0,"(0.46431803631240537, -6.901286111257484e-31, 0.1964355746582262)"
ABRRE,Beleria,2.0,"(0.28330162069305065, -1.589080998487663e-30, 0.10506940447297836)"
ABRRE,Beleria,3.0,"(0.6017879352517961, -2.5759872691621465e-31, 0.15724007834394615)"
ABRRE,Beleria,4.0,"(0.1690216984662051, -1.8215916059486116e-31, 0.13279036053925297)"
ABRRE,Beleria,5.0,"(0.31381350593247714, -2.4878236190021573e-31, 0.08959402070908162)"
ABRRE,Beleria,6.0,"(0.3252934188774027, -3.193661314418349e-30, 0.020804031812009502)"
ABRRE,Beleria,7.0,"(0.7769424246570256, -1.1808388997972856e-30, 0.08156200768286043)"
ABRRE,Beleria,8.0,"(0.17977928934395307, -4.5183504332723267e-29, 0.20903606446645645)"
ABRRE,Beleria,9.0,"(0.7061159693239174, -3.0937672659684836e-30, 0.09673209091024107)"
ABRRE,Beleria,10.0,"(0.7540915523660146, -6.746083180120929e-31, 0.1693639409140319)"
ABRRE,Beleria,11.0,"(0.32640672589239694, -3.531411301846355e-31, 0.08322564380848696)"
ABRRE,Beleria,12.0,"(0.786906163659991, -1.633175654293626e-30, 0.13144383989124625)"
ABRRE,Braavos,2.0,"(3.1133239607107797, -0.01010835419126093, 0.02015211071529202)"
ABRRE,Braavos,3.0,"(0.6729123168637074, 0.020365245662582042, 0.03653068967457591)"
ABRRE,Braavos,4.0,"(0.6198602123305117, -1.09994769336879e-28, 0.07915465103302197)"
ABRRE,Braavos,5.0,"(3.2018474456239145, -0.009464196570077011, 0.02132752343980597)"
ABRRE,Braavos,6.0,"(0.893485171273493, -5.944190568504153e-30, 0.05327302435748103)"
ABRRE,Braavos,7.0,"(4.859196794219775, -0.011500014825027112, 0.012051145672370433)"
ABRRE,Braavos,8.0,"(2.3354936787274623, -0.008964970471407742, 0.02698321099291891)"
ABRRE,Braavos,9.0,"(0.3168021669310934, -4.113842771387287e-28, 1.572312141788729)"
ABRRE,Braavos,10.0,"(0.40242407312171047, -9.279982300356034e-30, 0.4928338492941191)"
ABRRE,Braavos,11.0,"(6.7093702612258355, -0.019944219365401923, 0.010957169660604029)"
ABRRE,Braavos,12.0,"(4.800411823490673, -0.02098457314088641, 0.01573404906245235)"
ABRRE,Eriador,1.0,"(0.2246175530613192, -6.92382179410797e-31, 0.05440142638136325)"
ABRRE,Eriador,2.0,"(0.04578099401254469, -1.9870249340907535e-31, 0.0696574732420307)"
ABRRE,Eriador,3.0,"(0.20538851896240734, -3.984046813852439e-30, 0.06966853834453782)"
ABRRE,Eriador,4.0,"(0.28424362068388753, -3.0137341855707724e-30, 0.2141172003980673)"
ABRRE,Eriador,5.0,"(0.46162925329022064, -7.755353627398762e-31, 0.02058738210509624)"
ABRRE,Eriador,6.0,"(0.25054814294950956, -1.6828541017246028e-31, 0.11792122160711319)"
ABRRE,Eriador,7.0,"(0.3842827128011199, -8.697218067510396e-31, 0.08921752361435895)"
ABRRE,Eriador,8.0,"(0.5238577612159248, -1.0501641142245277e-29, 0.04265175294725469)"
ABRRE,Eriador,9.0,"(0.2626331587189802, -3.4472846522835192e-31, 0.11691723415663959)"
ABRRE,Eriador,10.0,"(0.258984712877963, -2.2571195715309128e-30, 0.11416315852985959)"
ABRRE,Eriador,11.0,"(0.2563337240077054, -9.781560913328484e-31, 0.09028859400987929)"
ABRRE,Eriador,12.0,"(0.2824309980296418, -1.0405724484989494e-29, 0.13928689735556443)"
ABRRE,Etheria,1.0,"(0.11399453936164644, -2.436675527449096e-30, 0.4093258107672634)"
