brand,country,month,alpha,beta,mu
ABRRE,Arrakis,1.0,0.3556633834708828,-1.9391131534641402e-30,0.09258361758988634
ABRRE,Beleria,1.0,0.6910781171575618,-2.0395667626848387e-31,0.14193911047576496
ABRRE,Beleria,2.0,0.610849982752348,-2.679983426453413e-29,0.0955241169185304
ABRRE,Beleria,3.0,0.6368323581176172,-2.4628219641394918e-32,0.14859197511627548
ABRRE,Beleria,4.0,0.12865665005007515,-2.4896694383091854e-30,0.07988387711246416
ABRRE,Beleria,5.0,0.4380200836903157,-4.0432098942722416e-29,0.050786017749834975
ABRRE,Beleria,6.0,0.10750787813769659,-8.306467530903996e-32,0.06638272479325275
ABRRE,Beleria,7.0,0.48333977752974533,-3.8175320250769375e-29,0.05171650222892676
ABRRE,Beleria,8.0,0.33113418298021136,-1.6952078445653197e-30,0.10911019012962964
ABRRE,Beleria,9.0,0.7113668479527294,-5.8557779534845026e-30,0.03902555300511715
ABRRE,Beleria,10.0,0.25740639190567316,-1.1907968169749291e-29,0.10830503540469247
ABRRE,Beleria,11.0,0.049891660987055664,-3.0595920232275077e-31,0.05408486018398309
ABRRE,Beleria,12.0,0.15275508423642392,-7.933242258285226e-30,0.13533266413406175
ABRRE,Braavos,2.0,3.5554421357115826,-0.011907463092333398,0.017605757021667556
ABRRE,Braavos,3.0,1.1860435022824918,0.019826119715868257,0.02595202285805498
ABRRE,Braavos,4.0,4.771492847683321,-0.012587470722985347,0.013263932668680664
ABRRE,Braavos,5.0,0.435214218760684,-1.605292081463815e-29,0.44109724692604635
ABRRE,Braavos,6.0,0.7624975157366957,-3.358849402571608e-27,0.059322831273852274
ABRRE,Braavos,7.0,5.552991103141355,-0.01316020693339616,0.010577231381288335
ABRRE,Braavos,8.0,2.777849158638462,-0.011647085208648395,0.022891559946474904
ABRRE,Braavos,9.0,0.9200123885450624,-9.437914448810022e-28,0.05553125858565207
ABRRE,Braavos,10.0,5.93066188414819,-0.014271633602697967,0.010188007888679393
ABRRE,Braavos,11.0,0.40209628313754386,-2.368687397135734e-28,0.959397741978268
ABRRE,Braavos,12.0,5.760469583056227,-0.024793783647435976,0.013427784847407743
ABRRE,Eriador,1.0,0.30479127224880076,-5.4959395528141636e-30,0.031154966438979716
ABRRE,Eriador,2.0,0.2927104874164812,-1.5915274023211096e-28,0.04124093770800767
ABRRE,Eriador,3.0,0.3423610807498991,-6.735850797418765e-29,0.08123906099974292
ABRRE,Eriador,4.0,0.12440293187503149,-2.3322926676850923e-30,0.12705267476646398
ABRRE,Eriador,5.0,0.622981661528627,-3.054638007451245e-31,0.0921109422543771
