brand,country,month,norm_fit
ABRRE,Arrakis,1.0,"(0.045454545454545456, 0.0842480345320309)"
ABRRE,Beleria,1.0,"(0.046511627906976744, 0.0865159667696511)"
ABRRE,Beleria,2.0,"(0.046511627906976744, 0.08355889471289614)"
ABRRE,Beleria,3.0,"(0.04242424242424243, 0.07884122011248249)"
ABRRE,Beleria,4.0,"(0.044642857142857144, 0.06890156368439476)"
ABRRE,Beleria,5.0,"(0.04477611940298508, 0.0634755765661059)"
ABRRE,Beleria,6.0,"(0.043859649122807015, 0.059330534741296105)"
ABRRE,Beleria,7.0,"(0.046052631578947366, 0.0726352353334747)"
ABRRE,Beleria,8.0,"(0.047244094488188976, 0.07933729308595452)"
ABRRE,Beleria,9.0,"(0.047244094488188976, 0.06856598084614769)"
ABRRE,Beleria,10.0,"(0.047337278106508875, 0.08810654406563895)"
ABRRE,Beleria,11.0,"(0.0440251572327044, 0.06802591862545763)"
ABRRE,Beleria,12.0,"(0.046511627906976744, 0.08323522891113848)"
ABRRE,Braavos,2.0,"(0.05263157894736842, 0.03720186211363522)"
ABRRE,Braavos,3.0,"(0.05263157894736842, 0.04067196359835928)"
ABRRE,Braavos,4.0,"(0.05263157894736842, 0.037565219471284016)"
ABRRE,Braavos,5.0,"(0.058823529411764705, 0.0431773129987029)"
ABRRE,Braavos,6.0,"(0.047619047619047616, 0.030006610245156697)"
ABRRE,Braavos,7.0,"(0.047058823529411764, 0.030792645964912685)"
ABRRE,Braavos,8.0,"(0.05405405405405406, 0.040080420855126864)"
ABRRE,Braavos,9.0,"(0.05194805194805195, 0.03179002977482022)"
ABRRE,Braavos,10.0,"(0.04761904761904763, 0.028981534047822832)"
ABRRE,Braavos,11.0,"(0.05357142857142857, 0.029903324957715523)"
ABRRE,Braavos,12.0,"(0.054545454545454536, 0.03555378641885555)"
ABRRE,Eriador,1.0,"(0.047619047619047616, 0.06916358832330351)"
ABRRE,Eriador,2.0,"(0.053691275167785234, 0.07901062758121576)"
ABRRE,Eriador,3.0,"(0.047244094488188976, 0.07363445417922183)"
ABRRE,Eriador,4.0,"(0.04938271604938271, 0.08493169938585056)"
ABRRE,Eriador,5.0,"(0.04878048780487805, 0.07792696932511005)"
ABRRE,Eriador,6.0,"(0.04878048780487805, 0.07972045696868933)"
ABRRE,Eriador,7.0,"(0.04487179487179487, 0.07447183451677396)"
ABRRE,Eriador,8.0,"(0.0449438202247191, 0.06072034017201156)"
ABRRE,Eriador,9.0,"(0.04901960784313725, 0.08344604299298643)"
ABRRE,Eriador,10.0,"(0.047619047619047616, 0.08091284150768785)"
ABRRE,Eriador,11.0,"(0.050505050505050504, 0.07186721721283557)"
ABRRE,Eriador,12.0,"(0.05660377358490566, 0.09993523376291608)"
ABRRE,Etheria,1.0,"(0.04878048780487805, 0.11148724237185567)"
ABRRE,Etheria,2.0,"(0.049999999999999996, 0.0947392802715841)"
ABRRE,Etheria,3.0,"(0.045977011494252866, 0.10519986968062985)"
ABRRE,Etheria,5.0,"(0.0472972972972973, 0.11058995220719649)"
ABRRE,Etheria,6.0,"(0.047619047619047616, 0.11179524223276512)"
ABRRE,Etheria,7.0,"(0.045454545454545456, 0.0785168550760219)"
ABRRE,Etheria,10.0,"(0.044444444444444446, 0.107746175618062)"
ABRRE,Etheria,11.0,"(0.04838709677419355, 0.12217535852362378)"
ABRRE,Etheria,12.0,"(0.05, 0.11225181909752104)"
ABRRE,Gallifrey,3.0,"(0.047619047619047616, 0.056307329539093454)"
ABRRE,Gallifrey,4.0,"(0.047619047619047616, 0.03767304959687295)"
ABRRE,Gallifrey,5.0,"(0.05, 0.030290783178397132)"
ABRRE,Gallifrey,6.0,"(0.04545454545454545, 0.037585883933988755)"
ABRRE,Gallifrey,7.0,"(0.043478260869565216, 0.033799293792249226)"
